r0097	1.14.12.-	C11036	C14842
r0097	1.14.12.-	C11036	C12837
r0097	1.14.12.-	C11272	C14842
r0097	1.14.12.-	C11272	C12837
r0097	1.14.12.-	C03122	C14842
r0097	1.14.12.-	C03122	C12837
r0097	1.14.12.-	C06990	C14842
r0097	1.14.12.-	C06990	C12837
r0104	1.3.1.19	C14842	C05618
r0104	1.3.1.19	C14842	C16472
r0104	1.3.1.19	C12837	C05618
r0104	1.3.1.19	C12837	C16472
r0108	1.13.11.1	C05618	C16475
r0108	1.13.11.1	C05618	C03572
r0108	1.13.11.1	C16472	C16475	R08114
r0108	1.13.11.1	C16472	C03572
r0110	3.1.1.45	C04431	C02222	R03893
r0110	3.1.1.45	C12838	C02222	R06838
r0111	5.5.1.7	C16475	C04431
r0111	5.5.1.7	C16475	C12838
r0111	5.5.1.7	C03572	C04431
r0111	5.5.1.7	C03572	C12838	R06840
r1022	1.13.11.39	C05618	C16266	R07827
r1022	1.13.11.39	C16472	C16266
r0099	1.3.1.32	C02222	C00846	R02988	R02989
r1623	1.14.13.7	C14841	C05618
r1623	1.14.13.7	C14841	C16472
r1623	1.14.13.7	C01874	C05618
r1623	1.14.13.7	C01874	C16472
r1623	1.14.13.7	C14219	C05618
r1623	1.14.13.7	C14219	C16472
