r1156	1.2.1.-	C17384	C16462
r1156	1.2.1.-	C09848	C16462	R08087
r1156	1.2.1.-	C11384	C16462	R08096
r1155	1.1.-.-	C09849	C17384
r1155	1.1.-.-	C09849	C09848
r1155	1.1.-.-	C09849	C11384
r1155	1.1.-.-	C11386	C17384
r1155	1.1.-.-	C11386	C09848
r1155	1.1.-.-	C11386	C11384
r1157	6.2.1.-	C16462	C16464	R08088
r1159	1.3.1.-	C16464	C16465
r1159	1.3.1.-	C16464	C01920
r1166	6.4.1.5	C16465	C01291
r1166	6.4.1.5	C01920	C01291	R03494
r1168	4.1.99.-	C04675	C16466
r1305	1.1.1.35	C16469	C16471	R08094
r1167	4.2.1.57	C01291	C04675	R03493
r1302	2.3.1.9	C16466	C16470
r1303	1.3.99.-	C16470	C16468	R08092
r1304	4.2.1.17	C16468	C16469	R08093
r1306	2.3.1.9	C16471	C03069
