r0419	3.1.1.-	C02274	C01198
r1041	1.13.-.-	C16263	C16264	R07801
r0410		C07722	C07723	R05543
r0411	1.14.12.12	C07715	C07721	R05423
r0415	1.13.11.-	C07717	C07725
r0422	1.13.11.-	C07724	C07718
r1043	1.3.-.-	C07721	C07717
r0407	1.14.-.-	C07715	C06711
r0408	1.1.1.256	C06711	C06712	R05349	R05350
r0409	1.14.12.-	C06712	C07722	R05435	R05436
r0412		C07715	C07717	R05541
r0421		C07715	C07724	R05542
r0662	1.14.12.12	C07715	C06711	R05422
r0413	4.1.2.-	C07725	C07719
r0414		C07719	C01504	R05540
r0423		C07726	C07727	R05545
r1039	1.14.-.-	C06712	C16262
r1040	1.3.-.-	C16262	C16263	R07800
r0416	1.14.-.-	C01504	C07720
r0417	1.14.-.-	C01504	C02274
r0418		C01198	C07587
r0418		C01198	C00805	R05537
r0420	4.1.2.-	C07718	C00022
r0424	1.14.-.-	C07727	C07728
r1042	3.7.1.-	C16264	C00596	R07802
r0425		C07728	C00090	R07803
r0425		C07728	C05060
r0425		C07728	C01785
r0425		C07728	C15571
