r0335	1.3.1.29	C04514	C03012
r0335	1.3.1.29	C06205	C03012
r0335	1.3.1.29	C04314	C03012	R04115
r0336	1.13.11.56	C03012	C06204	R04117
r1609	1.14.12.12	C14114	C00829
r1610	1.14.12.11	C14114	C00829
r0334	1.14.12.12	C00829	C04514
r0334	1.14.12.12	C00829	C06205
r0334	1.14.12.12	C00829	C04314	R02968
r0337	5.99.1.4	C06204	C06203	R05137
r0338	4.1.2.25	C06203	C00022
r0339	1.2.1.65	C06202	C00805	R02941
r0339	1.2.1.65	C06202	C07587
r1616	1.14.-.-	C00829	C16213
r0340	1.14.13.1	C00805	C00090	R00818
r0340	1.14.13.1	C00805	C05060
r0340	1.14.13.1	C00805	C01785
r0340	1.14.13.1	C00805	C15571
r0340	1.14.13.1	C07587	C00090
r0340	1.14.13.1	C07587	C05060
r0340	1.14.13.1	C07587	C01785
r0340	1.14.13.1	C07587	C15571
r1034	1.14.13.-	C00805	C00628
r1034	1.14.13.-	C07587	C00628
